"","model","df","logLik","AICc","delta","weight","r.squared"
"1","~llen+year+basin+llen:basin+llen:year+basin:year+llen:basin:year","57","7986","-15858","   0"," 1.0e+00","0.99"
"2","~llen+year+year:basin","30","7689","-15318"," 539","8.3e-118","0.99"
"3","~llen+year+basin+llen:year","30","7658","-15256"," 602","2.0e-131","0.99"
"4","~year+llen+basin+llen:basin","18","7560","-15084"," 773","1.3e-168","0.99"
"5","~llen+year+basin","17","7553","-15072"," 786","2.4e-171","0.99"
"6","~llen+year+llen:year","29","7463","-14868"," 989","1.4e-215","0.99"
"7","~llen+basin+llen:basin"," 5","7359","-14708","1149","2.8e-250","0.99"
"8","~llen+basin"," 4","7354","-14700","1157","5.0e-252","0.99"
"9","~llen+year","16","7358","-14684","1174","1.1e-255","0.99"
"10","~llen"," 3","7213","-14421","1437","1.0e-312","0.99"
